,HPO_LABEL,OMIM,HPO,DOID_MAP,EDGES_TO_DOID
3941,Bladder carcinoma,615109,0002862,4007,0081002
3942,Breast carcinoma,615109,0003002,3459,0081002
3943,Fibroma,615109,0010614,0050871,0081002
3944,Varicocele,615109,0012871,12337,0081002
3945,Ovarian cyst,615108,0000138,5119,0081001
3946,Cataract,615108,0000518,83,0081001
3947,Myopia,615108,0000545,11830,0081001
3948,Gynecomastia,615108,0000771,12698,0081001
3949,Hypothyroidism,615108,0000821,1459,0081001
3950,Hyperthyroidism,615108,0000836,7998,0081001
3951,Goiter,615108,0000853,12176,0081001
3952,Thyroid adenoma,615108,0000854,2891,0081001
3953,Intellectual disability,615108,0001249,1059,0081001
3954,Thyroiditis,615108,0100646,7166,0081001
3955,Scoliosis,615108,0002650,0060249,0081001
3956,Meningioma,615108,0002858,3565,0081001
3957,Bladder carcinoma,615108,0002862,4007,0081001
3958,Breast carcinoma,615108,0003002,3459,0081001
3959,Ovarian cyst,175200,0000138,5119,3852
3960,Gynecomastia,175200,0000771,12698,3852
3961,Iron deficiency anemia,175200,0001891,11758,3852
3962,Anemia,175200,0001903,2355,3852
3963,Hypochromic anemia,175200,0001931,11759,3852
3964,Rectal prolapse,175200,0002035,9307,3852
3965,Intussusception,175200,0002576,8446,3852
3966,Gastrointestinal carcinoma,175200,0002672,0050922,3852
3967,Breast carcinoma,175200,0003002,3459,3852
3968,Amenorrhea,603896,0000141,13938,0060868
3973,Microcephaly,603896,0000252,10907,0060868
3978,Blindness,603896,0000618,1432,0060868
3983,Optic atrophy,603896,0000648,5723,0060868
3988,Amenorrhea,617565,0000141,13938,0080256
3989,Amenorrhea,618117,0000141,13938,0080499
3990,Amenorrhea,616185,0000141,13938,0080496
3991,Amenorrhea,618187,0000141,13938,0080500
3992,Osteoporosis,618187,0000939,11476,0080500
3993,Hyperpituitarism,618187,0010514,2444,0080500
3994,Amenorrhea,614324,0000141,13938,0080495
3995,Amenorrhea,617690,0000141,13938,0080497
3996,Amenorrhea,614851,0000141,13938,0070011
3997,Microcephaly,614851,0000252,10907,0070011
3998,Hypothyroidism,614851,0000821,1459,0070011
3999,Intellectual disability,614851,0001249,1059,0070011
4000,Scoliosis,614851,0002650,0060249,0070011
4001,Gingival fibromatosis,228600,0000169,0060466,0111669
4002,Gingival overgrowth,228600,0000212,3086,0111669
4003,Osteoporosis,228600,0000939,11476,0111669
4004,Sarcoma,228600,0100242,1115,0111669
4005,Diarrhea,228600,0002014,13250,0111669
4006,Fibroma,228600,0010614,0050871,0111669
4007,Gingival fibromatosis,191100,0000169,0060466,0080324
4008,Hypothyroidism,191100,0000821,1459,0080324
4009,Intellectual disability,191100,0001249,1059,0080324
4010,Wolff-Parkinson-White syndrome,191100,0001716,384,0080324
4011,Sarcoma,191100,0100242,1115,0080324
4012,Renal cell carcinoma,191100,0005584,4450,0080324
4013,Attention deficit hyperactivity disorder,191100,0007018,1094,0080324
4014,Optic nerve glioma,191100,0009734,4992,0080324
4015,Fibroma,191100,0010614,0050871,0080324
4016,Chordoma,191100,0010762,3302,0080324
4017,Gingival fibromatosis,613254,0000169,0060466,0080325
4019,Hypothyroidism,613254,0000821,1459,0080325
4021,Intellectual disability,613254,0001249,1059,0080325
4023,Wolff-Parkinson-White syndrome,613254,0001716,384,0080325
4025,Sarcoma,613254,0100242,1115,0080325
4027,Renal cell carcinoma,613254,0005584,4450,0080325
4029,Attention deficit hyperactivity disorder,613254,0007018,1094,0080325
4031,Subependymal giant-cell astrocytoma,613254,0009718,5077,0080325
4033,Optic nerve glioma,613254,0009734,4992,0080325
4035,Fibroma,613254,0010614,0050871,0080325
4037,Chordoma,613254,0010762,3302,0080325
4039,Cleft palate,258860,0000175,674,0060374
4040,Brachydactyly,258860,0001156,0050581,0060374
4041,Syndactyly,258860,0001159,11193,0060374
4042,Polydactyly,258860,0010442,1148,0060374
4043,Cleft palate,301030,0000175,674,0111840
4044,Cleft soft palate,301030,0000185,0110214,0111840
4045,Microcephaly,301030,0000252,10907,0111840
4046,Intellectual disability,301030,0001249,1059,0111840
4047,Cerebellar hypoplasia,301030,0001321,0070338,0111840
4048,Ventricular septal defect,301030,0001629,1657,0111840
4049,Spina bifida,301030,0002414,0080016,0111840
4050,Scoliosis,301030,0002650,0060249,0111840
4051,Spina bifida occulta,301030,0003298,0080073,0111840
4052,Hyperpituitarism,301030,0010514,2444,0111840
4053,Neural tube defect,301030,0045005,0080074,0111840
4054,Cleft palate,618863,0000175,674,0080946
4055,Microcephaly,618863,0000252,10907,0080946
4056,Ptosis,618863,0000508,0060260,0080946
4057,Cleft palate,228520,0000175,674,0080672
4058,Megalocornea,228520,0000485,0060305,0080672
4059,Omphalocele,228520,0001539,0060327,0080672
4060,Patent foramen ovale,228520,0001655,13620,0080672
4061,Cleft palate,616570,0000175,674,0080913
4062,Microcephaly,616570,0000252,10907,0080913
4063,Microphthalmia,616570,0000568,10629,0080913
4064,Arthrogryposis multiplex congenita,616570,0002804,0080954,0080913
4065,Cleft palate,202650,0000175,674,0060341
4066,Holoprosencephaly,202650,0001360,4621,0060341
4067,Dextrocardia,202650,0001651,9565,0060341
4068,Tracheomalacia,202650,0002779,0060313,0060341
4069,Cleft palate,218600,0000175,674,0050654
4070,Cleft soft palate,218600,0000185,0110214,0050654
4071,Hydrocephalus,218600,0000238,10908,0050654
4072,Strabismus,218600,0000486,540,0050654
4073,Myopia,218600,0000545,11830,0050654
4074,Optic atrophy,218600,0000648,5723,0050654
4075,Hemangioma,218600,0001028,255,0050654
4076,Intellectual disability,218600,0001249,1059,0050654
4077,Craniosynostosis,218600,0001363,2340,0050654
4078,Polymicrogyria,218600,0002126,0080918,0050654
4079,Spina bifida,218600,0002414,0080016,0050654
4080,Scoliosis,218600,0002650,0060249,0050654
4081,Spina bifida occulta,218600,0003298,0080073,0050654
4082,Capillary hemangioma,218600,0005306,2725,0050654
4083,Neural tube defect,218600,0045005,0080074,0050654
4084,Cleft palate,225060,0000175,674,0060773
4085,Cleft lip,225060,0410030,9296,0060773
4086,Anodontia,225060,0000674,13714,0060773
4087,Ectodermal dysplasia,225060,0000968,2121,0060773
4088,Syndactyly,225060,0001159,11193,0060773
4089,Tooth agenesis,225060,0009804,0050591,0060773
4090,Cleft palate,200610,0000175,674,0080056
4091,Polyhydramnios,200610,0001561,8488,0080056
4092,Cleft palate,600920,0000175,674,0111699
4093,Blepharophimosis,600920,0000581,10348,0111699
4094,Sclerocornea,600920,0000647,0060252,0111699
4095,Craniosynostosis,600920,0001363,2340,0111699
4096,Laryngomalacia,600920,0001601,0080833,0111699
4097,Cleft palate,616038,0000175,674,0080075
4098,Microcephaly,616038,0000252,10907,0080075
4099,Scoliosis,616038,0002650,0060249,0080075
4100,Ichthyosis,616038,0008064,1697,0080075
4101,Cleft palate,617768,0000175,674,0080598
4102,Cleft soft palate,617768,0000185,0110214,0080598
4103,Microcephaly,617768,0000252,10907,0080598
4104,Intellectual disability,617768,0001249,1059,0080598
4105,Scoliosis,617768,0002650,0060249,0080598
4106,Cleft palate,616546,0000175,674,0110096
4107,Hydrocephalus,616546,0000238,10908,0110096
4108,Coloboma,616546,0000589,12270,0110096
4109,Congenital diaphragmatic hernia,616546,0000776,3827,0110096
4110,Cerebellar hypoplasia,616546,0001321,0070338,0110096
4111,Polyhydramnios,616546,0001561,8488,0110096
4112,Polymicrogyria,616546,0002126,0080918,0110096
4113,Anencephaly,616546,0002323,0060668,0110096
4114,Polydactyly,616546,0010442,1148,0110096
4115,Cleft palate,184840,0000175,674,0080677
4116,Arthritis,184840,0001369,848,0080677
4117,Osteoarthritis,184840,0002758,8398,0080677
4118,Cleft palate,119600,0000175,674,13994
4119,Brachydactyly,119600,0001156,0050581,13994
4120,Scoliosis,119600,0002650,0060249,13994
4121,Spondylolisthesis,119600,0003302,6682,13994
4122,Spondylolysis,119600,0003304,2300,13994
4123,Syringomyelia,119600,0003396,327,13994
4124,Cleft palate,301022,0000175,674,0111845
4125,Microcephaly,301022,0000252,10907,0111845
4126,Cleft lip,301022,0410030,9296,0111845
4127,Congenital diaphragmatic hernia,301022,0000776,3827,0111845
4128,Scoliosis,301022,0002650,0060249,0111845
4129,Attention deficit hyperactivity disorder,301022,0007018,1094,0111845
4130,Polydactyly,301022,0010442,1148,0111845
4131,Cleft palate,614924,0000175,674,0111493
4132,Ptosis,614924,0000508,0060260,0111493
4133,Ophthalmoplegia,614924,0000602,539,0111493
4134,Dystonia,614924,0001332,543,0111493
4135,Cholestasis,614924,0001396,13580,0111493
4136,Lactic acidosis,614924,0003128,3650,0111493
4137,Cleft palate,613705,0000175,674,0080403
4138,Cleft lip,613705,0410030,9296,0080403
4139,Cleft palate,609192,0000175,674,0070235
4140,Cleft soft palate,609192,0000185,0110214,0070235
4141,Hydrocephalus,609192,0000238,10908,0070235
4142,Strabismus,609192,0000486,540,0070235
4143,Exotropia,609192,0000577,1143,0070235
4144,Intellectual disability,609192,0001249,1059,0070235
4145,Craniosynostosis,609192,0001363,2340,0070235
4146,Mitral valve prolapse,609192,0001634,988,0070235
4147,Patent ductus arteriosus,609192,0001643,13832,0070235
4148,Esophagitis,609192,0100633,11963,0070235
4149,Aortic dissection,609192,0002647,0080685,0070235
4150,Scoliosis,609192,0002650,0060249,0070235
4151,Aortic aneurysm,609192,0004942,3627,0070235
4152,Polydactyly,609192,0010442,1148,0070235
4153,Thoracic aortic aneurysm,609192,0012727,14004,0070235
4154,Cleft palate,613717,0000175,674,0080790
4155,Choanal atresia,613717,0000453,9574,0080790
4156,Coloboma,613717,0000589,12270,0080790
4157,Cleft palate,618939,0000175,674,0080792
4158,Microcephaly,618939,0000252,10907,0080792
4159,Cleft palate,605282,0000175,674,0050814
4160,Optic atrophy,605282,0000648,5723,0050814
4161,Hypertrichosis,605282,0000998,420,0050814
4162,Brachydactyly,605282,0001156,0050581,0050814
4163,Syndactyly,605282,0001159,11193,0050814
4164,Radioulnar synostosis,605282,0002974,9827,0050814
4165,Cleft palate,613309,0000175,674,0111888
4166,Choanal atresia,613309,0000453,9574,0111888
4167,Congenital diaphragmatic hernia,613309,0000776,3827,0111888
4168,Ventricular septal defect,613309,0001629,1657,0111888
4169,Patent ductus arteriosus,613309,0001643,13832,0111888
4170,Anemia,613309,0001903,2355,0111888
4171,Macrocytic anemia,613309,0001972,2361,0111888
4172,Cleft palate,174300,0000175,674,0060375
4173,Cleft soft palate,174300,0000185,0110214,0060375
4174,Cleft lip,174300,0410030,9296,0060375
4175,Intellectual disability,174300,0001249,1059,0060375
4176,Scoliosis,174300,0002650,0060249,0060375
4177,Polydactyly,174300,0010442,1148,0060375
4178,Cleft palate,300373,0000175,674,0060886
4179,Cleft soft palate,300373,0000185,0110214,0060886
4180,Hydrocephalus,300373,0000238,10908,0060886
4181,Cleft lip,300373,0410030,9296,0060886
4182,Intellectual disability,300373,0001249,1059,0060886
4183,Omphalocele,300373,0001539,0060327,0060886
4184,Polyhydramnios,300373,0001561,8488,0060886
4185,Oligohydramnios,300373,0001562,12215,0060886
4186,Ventricular septal defect,300373,0001629,1657,0060886
4187,Patent ductus arteriosus,300373,0001643,13832,0060886
4188,Spina bifida,300373,0002414,0080016,0060886
4189,Scoliosis,300373,0002650,0060249,0060886
4190,Tracheomalacia,300373,0002779,0060313,0060886
4191,Spina bifida occulta,300373,0003298,0080073,0060886
4192,Neural tube defect,300373,0045005,0080074,0060886
4193,Cleft palate,614226,0000175,674,0110877
4194,Microcephaly,614226,0000252,10907,0110877
4195,Cleft lip,614226,0410030,9296,0110877
4196,Hypertrichosis,614226,0000998,420,0110877
4197,Holoprosencephaly,614226,0001360,4621,0110877
4198,Cleft palate,183600,0000175,674,0090021
4199,Syndactyly,183600,0001159,11193,0090021
4200,Intellectual disability,183600,0001249,1059,0090021
4201,Cleft palate,616462,0000175,674,0060353
4202,Microcephaly,616462,0000252,10907,0060353
4203,Choanal atresia,616462,0000453,9574,0060353
4204,Patent ductus arteriosus,616462,0001643,13832,0060353
4205,Cleft palate,618571,0000175,674,0070346
4206,Cleft lip,618571,0410030,9296,0070346
4207,Astigmatism,618571,0000483,11782,0070346
4208,Strabismus,618571,0000486,540,0070346
4209,Cataract,618571,0000518,83,0070346
4210,Microphthalmia,618571,0000568,10629,0070346
4211,Coloboma,618571,0000589,12270,0070346
4212,Cerebellar hypoplasia,618571,0001321,0070338,0070346
4213,Scoliosis,618571,0002650,0060249,0070346
4214,Cleft palate,617808,0000175,674,0080297
4215,Brachydactyly,617808,0001156,0050581,0080297
4216,Intellectual disability,617808,0001249,1059,0080297
4217,Constipation,617808,0002019,2089,0080297
4218,Scoliosis,617808,0002650,0060249,0080297
4219,Periventricular leukomalacia,617808,0006970,13088,0080297
4220,Attention deficit hyperactivity disorder,617808,0007018,1094,0080297
4221,Diaphragmatic eventration,617808,0009110,10480,0080297
4222,Cleft palate,117650,0000175,674,0111248
4223,Cleft soft palate,117650,0000185,0110214,0111248
4224,Microcephaly,117650,0000252,10907,0111248
4225,Intellectual disability,117650,0001249,1059,0111248
4226,Polyhydramnios,117650,0001561,8488,0111248
4227,Ventricular septal defect,117650,0001629,1657,0111248
4228,Patent ductus arteriosus,117650,0001643,13832,0111248
4229,Scoliosis,117650,0002650,0060249,0111248
4230,Cleft palate,215150,0000175,674,0080026
4231,Arthritis,215150,0001369,848,0080026
4232,Pneumonia,215150,0002090,552,0080026
4233,Osteoarthritis,215150,0002758,8398,0080026
4234,Cleft palate,101400,0000175,674,14768
4236,Strabismus,101400,0000486,540,14768
4238,Glaucoma,101400,0000501,1686,14768
4240,Ptosis,101400,0000508,0060260,14768
4242,Buphthalmos,101400,0000557,11211,14768
4244,Brachydactyly,101400,0001156,0050581,14768
4246,Syndactyly,101400,0001159,11193,14768
4248,Intellectual disability,101400,0001249,1059,14768
4250,Craniosynostosis,101400,0001363,2340,14768
4252,Parietal foramina,101400,0002697,0060285,14768
4254,Radioulnar synostosis,101400,0002974,9827,14768
4256,Breast carcinoma,101400,0003002,3459,14768
4258,Polydactyly,101400,0010442,1148,14768
4260,Cleft palate,619124,0000175,674,0112223
4261,Intellectual disability,619124,0001249,1059,0112223
4262,Dystonia,619124,0001332,543,0112223
4263,Omphalocele,619124,0001539,0060327,0112223
4264,Scoliosis,619124,0002650,0060249,0112223
4265,Cleft palate,614078,0000175,674,0112224
4266,Brachydactyly,614078,0001156,0050581,0112224
4267,Craniosynostosis,614078,0001363,2340,0112224
4268,Cleft palate,222600,0000175,674,14687
4269,Hemangioma,222600,0001028,255,14687
4270,Scoliosis,222600,0002650,0060249,14687
4271,Tracheal stenosis,222600,0002777,3227,14687
4272,Cleft palate,615349,0000175,674,0050802
4273,Cutis laxa,615349,0000973,3144,0050802
4274,Scoliosis,615349,0002650,0060249,0050802
4275,Cleft palate,610536,0000175,674,0080196
4276,Microcephaly,610536,0000252,10907,0080196
4277,Choanal atresia,610536,0000453,9574,0080196
4278,Ventricular septal defect,610536,0001629,1657,0080196
4279,Esophageal atresia,610536,0002032,10485,0080196
4280,Polydactyly,610536,0010442,1148,0080196
4281,Cleft palate,612292,0000175,674,0050675
4282,Cleft soft palate,612292,0000185,0110214,0050675
4283,Intellectual disability,612292,0001249,1059,0050675
4284,Cleft palate,616784,0000175,674,0110995
4285,Cleft lip,616784,0410030,9296,0110995
4286,Ptosis,616784,0000508,0060260,0110995
4287,Hypothyroidism,616784,0000821,1459,0110995
4288,Panhypopituitarism,616784,0000871,9410,0110995
4289,Cerebellar hypoplasia,616784,0001321,0070338,0110995
4290,Hypopituitarism,616784,0040075,9406,0110995
4291,Cleft palate,157170,0000175,674,0110872
4292,Cleft soft palate,157170,0000185,0110214,0110872
4293,Microcephaly,157170,0000252,10907,0110872
4294,Cleft lip,157170,0410030,9296,0110872
4295,Microphthalmia,157170,0000568,10629,0110872
4296,Diabetes insipidus,157170,0000873,9409,0110872
4297,Intellectual disability,157170,0001249,1059,0110872
4298,Cerebellar hypoplasia,157170,0001321,0070338,0110872
4299,Holoprosencephaly,157170,0001360,4621,0110872
4300,Constipation,157170,0002019,2089,0110872
4301,Scoliosis,157170,0002650,0060249,0110872
4302,Solitary median maxillary central incisor,157170,0006315,0111380,0110872
4303,Cleft palate,615731,0000175,674,0110929
4304,Scoliosis,615731,0002650,0060249,0110929
4305,Arthrogryposis multiplex congenita,615731,0002804,0080954,0110929
4306,Cleft palate,612561,0000175,674,0111879
4307,Cleft soft palate,612561,0000185,0110214,0111879
4308,Cleft lip,612561,0410030,9296,0111879
4309,Ventricular septal defect,612561,0001629,1657,0111879
4310,Mitral valve prolapse,612561,0001634,988,0111879
4311,Tetralogy of Fallot,612561,0001636,6419,0111879
4312,Patent ductus arteriosus,612561,0001643,13832,0111879
4313,Anemia,612561,0001903,2355,0111879
4314,Macrocytic anemia,612561,0001972,2361,0111879
4315,Tracheomalacia,612561,0002779,0060313,0111879
4316,Cleft palate,618223,0000175,674,0070345
4317,Cleft lip,618223,0410030,9296,0070345
4318,Hypoparathyroidism,618223,0000829,11199,0070345
4319,Hemangioma,618223,0001028,255,0070345
4320,Patent ductus arteriosus,618223,0001643,13832,0070345
4321,Double outlet right ventricle,618223,0001719,6406,0070345
4322,Thyroiditis,618223,0100646,7166,0070345
4323,Scoliosis,618223,0002650,0060249,0070345
4324,Hypopituitarism,618223,0040075,9406,0070345
4325,Cleft palate,256030,0000175,674,0110928
4326,Polyhydramnios,256030,0001561,8488,0110928
4327,Scoliosis,256030,0002650,0060249,0110928
4328,Arthrogryposis multiplex congenita,256030,0002804,0080954,0110928
4329,Myopathy,256030,0003198,423,0110928
4330,Cleft palate,215100,0000175,674,0110851
4331,Microcephaly,215100,0000252,10907,0110851
4332,Cataract,215100,0000518,83,0110851
4333,Intellectual disability,215100,0001249,1059,0110851
4334,Alopecia,215100,0001596,987,0110851
4335,Scoliosis,215100,0002650,0060249,0110851
4336,Ichthyosis,215100,0008064,1697,0110851
4337,Cleft palate,300989,0000175,674,0111861
4338,Cleft soft palate,300989,0000185,0110214,0111861
4339,Aortic dissection,300989,0002647,0080685,0111861
4340,Cleft palate,300244,0000175,674,0112149
4341,Ptosis,300244,0000508,0060260,0112149
4342,Coloboma,300244,0000589,12270,0112149
4343,Brachydactyly,300244,0001156,0050581,0112149
4344,Syndactyly,300244,0001159,11193,0112149
4345,Sarcoma,300244,0100242,1115,0112149
4346,Fibroma,300244,0010614,0050871,0112149
4347,Cleft palate,130070,0000175,674,0080738
4348,Cleft soft palate,130070,0000185,0110214,0080738
4349,Craniosynostosis,130070,0001363,2340,0080738
4350,Scoliosis,130070,0002650,0060249,0080738
4351,Radioulnar synostosis,130070,0002974,9827,0080738
4352,Cleft palate,206920,0000175,674,0060861
4353,Cleft lip,206920,0410030,9296,0060861
4354,Microphthalmia,206920,0000568,10629,0060861
4355,Blepharophimosis,206920,0000581,10348,0060861
4356,Syndactyly,206920,0001159,11193,0060861
4357,Intellectual disability,206920,0001249,1059,0060861
4358,Polydactyly,206920,0010442,1148,0060861
4359,Cleft palate,153400,0000175,674,0111509
4360,Cleft lip,153400,0410030,9296,0111509
4361,Ptosis,153400,0000508,0060260,0111509
4362,Conjunctivitis,153400,0000509,6195,0111509
4363,Lymphedema,153400,0001004,4977,0111509
4364,Ventricular septal defect,153400,0001629,1657,0111509
4365,Tetralogy of Fallot,153400,0001636,6419,0111509
4366,Patent ductus arteriosus,153400,0001643,13832,0111509
4367,Cellulitis,153400,0100658,3488,0111509
4368,Varicose veins,153400,0002619,799,0111509
4369,Venous insufficiency,153400,0005293,10128,0111509
4370,Cleft palate,612350,0000175,674,0080739
4371,Cleft soft palate,612350,0000185,0110214,0080739
4372,Scoliosis,612350,0002650,0060249,0080739
4373,Tooth agenesis,612350,0009804,0050591,0080739
4374,Cleft palate,610828,0000175,674,0110876
4375,Hydrocephalus,610828,0000238,10908,0110876
4376,Cleft lip,610828,0410030,9296,0110876
4377,Microphthalmia,610828,0000568,10629,0110876
4378,Coloboma,610828,0000589,12270,0110876
4379,Panhypopituitarism,610828,0000871,9410,0110876
4380,Holoprosencephaly,610828,0001360,4621,0110876
4381,Omphalocele,610828,0001539,0060327,0110876
4382,Solitary median maxillary central incisor,610828,0006315,0111380,0110876
4383,Hypopituitarism,610828,0040075,9406,0110876
4384,Cleft palate,183900,0000175,674,14789
4385,Cleft soft palate,183900,0000185,0110214,14789
4386,Retinal detachment,183900,0000541,5327,14789
4387,Myopia,183900,0000545,11830,14789
4388,Scoliosis,183900,0002650,0060249,14789
4389,Spondyloepiphyseal dysplasia,183900,0002655,0112280,14789
4390,Cleft palate,608874,0000175,674,0080399
4391,Cleft lip,608874,0410030,9296,0080399
4392,Cleft palate,263520,0000175,674,0110092
4393,Cleft lip,263520,0410030,9296,0110092
4394,Brachydactyly,263520,0001156,0050581,0110092
4395,Cerebellar hypoplasia,263520,0001321,0070338,0110092
4396,Lissencephaly,263520,0001339,0050453,0110092
4397,Ventricular septal defect,263520,0001629,1657,0110092
4398,Polydactyly,263520,0010442,1148,0110092
4399,Cleft palate,614120,0000175,674,0111356
4400,Hydrocephalus,614120,0000238,10908,0111356
4401,Anencephaly,614120,0002323,0060668,0111356
4402,Polydactyly,614120,0010442,1148,0111356
4403,Cleft palate,169400,0000175,674,9631
4404,Gingival overgrowth,169400,0000212,3086,9631
4405,Otitis media,169400,0000388,10754,9631
4406,Strabismus,169400,0000486,540,9631
4407,Intellectual disability,169400,0001249,1059,9631
4408,Umbilical hernia,169400,0001537,0060321,9631
4409,Ventricular septal defect,169400,0001629,1657,9631
4410,Thrombocytopenia,169400,0001873,1588,9631
4411,Neutropenia,169400,0001875,1227,9631
4412,Polydactyly,169400,0010442,1148,9631
4413,Cleft palate,266280,0000175,674,0050774
4414,Blepharophimosis,266280,0000581,10348,0050774
4415,Diarrhea,266280,0002014,13250,0050774
4416,Cleft palate,616367,0000175,674,0060365
4417,Alopecia,616367,0001596,987,0060365
4418,Cleft palate,154780,0000175,674,0111510
4419,Strabismus,154780,0000486,540,0111510
4420,Glaucoma,154780,0000501,1686,0111510
4421,Cataract,154780,0000518,83,0111510
4422,Retinal detachment,154780,0000541,5327,0111510
4423,Myopia,154780,0000545,11830,0111510
4424,Esotropia,154780,0000565,9840,0111510
4425,Cleft palate,269250,0000175,674,0050775
4426,Brachydactyly,269250,0001156,0050581,0050775
4427,Polyhydramnios,269250,0001561,8488,0050775
4428,Cleft palate,600625,0000175,674,0080404
4429,Cleft lip,600625,0410030,9296,0080404
4430,Cleft palate,142946,0000175,674,0110880
4431,Cleft lip,142946,0410030,9296,0110880
4432,Ptosis,142946,0000508,0060260,0110880
4433,Holoprosencephaly,142946,0001360,4621,0110880
4434,Cleft palate,248390,0000175,674,0080791
4435,Coloboma,248390,0000589,12270,0080791
4436,Gingival overgrowth,249420,0000212,3086,0111789
4437,Megalocornea,249420,0000485,0060305,0111789
4438,Glaucoma,249420,0000501,1686,0111789
4439,Buphthalmos,249420,0000557,11211,0111789
4440,Osteoporosis,249420,0000939,11476,0111789
4441,Acne,249420,0001061,6543,0111789
4442,Ventricular septal defect,249420,0001629,1657,0111789
4443,Mitral valve prolapse,249420,0001634,988,0111789
4444,Double outlet right ventricle,249420,0001719,6406,0111789
4445,Gingival overgrowth,602535,0000212,3086,0050858
4446,Choanal atresia,602535,0000453,9574,0050858
4447,Hypertension,602535,0000822,10763,0050858
4448,Hypertrichosis,602535,0000998,420,0050858
4449,Intellectual disability,602535,0001249,1059,0050858
4450,Umbilical hernia,602535,0001537,0060321,0050858
4451,Omphalocele,602535,0001539,0060327,0050858
4452,Laryngomalacia,602535,0001601,0080833,0050858
4453,Patent ductus arteriosus,602535,0001643,13832,0050858
4454,Pneumonia,602535,0002090,552,0050858
4455,Scoliosis,602535,0002650,0060249,0050858
4456,Obstructive sleep apnea,602535,0002870,0050848,0050858
4457,Sleep apnea,602535,0010535,0050847,0050858
4458,Aspiration pneumonia,602535,0011951,0050152,0050858
4459,Gingival overgrowth,277950,0000212,3086,0080696
4460,Osteoporosis,277950,0000939,11476,0080696
4461,Arthropathy,277950,0003040,381,0080696
4462,Gingival overgrowth,212066,0000212,3086,0070253
4463,Microcephaly,212066,0000252,10907,0070253
4464,Hemangioma,212066,0001028,255,0070253
4465,Intellectual disability,212066,0001249,1059,0070253
4466,Ventricular septal defect,212066,0001629,1657,0070253
4467,Scoliosis,212066,0002650,0060249,0070253
4468,Capillary hemangioma,212066,0005306,2725,0070253
4469,Gingivitis,173650,0000230,3087,0060472
4470,Periodontitis,173650,0000704,824,0060472
4471,Urethral obstruction,173650,0000796,12577,0060472
4472,Phimosis,173650,0001741,2712,0060472
4473,Gingivitis,214500,0000230,3087,2935
4474,Strabismus,214500,0000486,540,2935
4475,Periodontitis,214500,0000704,824,2935
4476,Ocular albinism,214500,0001107,0050633,2935
4477,Intellectual disability,214500,0001249,1059,2935
4478,Cholestasis,214500,0001396,13580,2935
4479,Thrombocytopenia,214500,0001873,1588,2935
4480,Neutropenia,214500,0001875,1227,2935
4481,Leukopenia,214500,0001882,615,2935
4482,Anemia,214500,0001903,2355,2935
4483,Hydrocephalus,100800,0000238,10908,4480
4484,Otitis media,100800,0000388,10754,4480
4485,Brachydactyly,100800,0001156,0050581,4480
4486,Hydrocephalus,617244,0000238,10908,0111090
4487,Microcephaly,617244,0000252,10907,0111090
4488,Intellectual disability,617244,0001249,1059,0111090
4489,Hydrocephalus,245200,0000238,10908,10587
4490,Blindness,245200,0000618,1432,10587
4491,Optic atrophy,245200,0000648,5723,10587
4492,Thrombocytopenia,245200,0001873,1588,10587
4493,Hydrocephalus,182940,0000238,10908,182940
4498,Anencephaly,182940,0002323,0060668,182940
4503,Spina bifida,182940,0002414,0080016,182940
4508,Meningocele,182940,0002435,1088,182940
4513,Myelomeningocele,182940,0002475,0060326,182940
4518,Spina bifida occulta,182940,0003298,0080073,182940
4523,Lipoma,182940,0012032,3315,182940
4528,Neural tube defect,182940,0045005,0080074,182940
4533,Hydrocephalus,123790,0000238,10908,0050660
4534,Choanal atresia,123790,0000453,9574,0050660
4535,Ptosis,123790,0000508,0060260,0050660
4536,Optic atrophy,123790,0000648,5723,0050660
4537,Hypertension,123790,0000822,10763,0050660
4538,Acanthosis nigricans,123790,0000956,3138,0050660
4539,Cutis laxa,123790,0000973,3144,0050660
4540,Craniosynostosis,123790,0001363,2340,0050660
4541,Hydrocephalus,218040,0000238,10908,0050469
4542,Strabismus,218040,0000486,540,0050469
4543,Ptosis,218040,0000508,0060260,0050469
4544,Acanthosis nigricans,218040,0000956,3138,0050469
4545,Cutis laxa,218040,0000973,3144,0050469
4546,Intellectual disability,218040,0001249,1059,0050469
4547,Polyhydramnios,218040,0001561,8488,0050469
4548,Ventricular septal defect,218040,0001629,1657,0050469
4549,Mitral valve prolapse,218040,0001634,988,0050469
4550,Cardiomyopathy,218040,0001638,0050700,0050469
4551,Hypertrophic cardiomyopathy,218040,0001639,11984,0050469
4552,Sarcoma,218040,0100242,1115,0050469
4553,Hypoglycemia,218040,0001943,9993,0050469
4554,Pyloric stenosis,218040,0002021,12639,0050469
4555,Pneumothorax,218040,0002107,1673,0050469
4556,Tracheomalacia,218040,0002779,0060313,0050469
4557,Rhabdomyosarcoma,218040,0002859,3247,0050469
4558,Bladder carcinoma,218040,0002862,4007,0050469
4559,Obstructive sleep apnea,218040,0002870,0050848,0050469
4560,Respiratory failure,218040,0002878,11162,0050469
4561,Sleep apnea,218040,0010535,0050847,0050469
4562,Hydrocephalus,617822,0000238,10908,0111555
4563,Strabismus,617822,0000486,540,0111555
4564,Cataract,617822,0000518,83,0111555
4565,Syndactyly,617822,0001159,11193,0111555
4566,Intellectual disability,617822,0001249,1059,0111555
