,HPO_LABEL,ORPHA,HPO,DOID_MAP,EDGES_TO_DOID
8037,Syndactyly,744,0001159,11193,13482
8039,Intellectual disability,744,0001249,1059,13482
8041,Craniosynostosis,744,0001363,2340,13482
8043,Cardiac arrest,744,0001695,0060319,13482
8045,Arteriovenous malformation,744,0100026,11294,13482
8047,Pulmonary embolism,744,0002204,9477,13482
8049,Lymphangioma,744,0100764,1475,13482
8051,Hyperostosis,744,0100774,205,13482
8053,Scoliosis,744,0002650,0060249,13482
8055,Meningioma,744,0002858,3565,13482
8057,Myopathy,744,0003198,423,13482
8059,Myofibrillar myopathy,744,0003715,0080307,13482
8061,Thrombophlebitis,744,0004418,3875,13482
8063,Capillary hemangioma,744,0005306,2725,13482
8065,Tooth agenesis,744,0009804,0050591,13482
8067,Epidermal nevus,744,0010816,0111162,13482
8069,Lipoma,744,0012032,3315,13482
8071,Ovarian cyst,2869,0000138,5119,3852
8072,Anemia,2869,0001903,2355,3852
8073,Rectal prolapse,2869,0002035,9307,3852
8074,Gastrointestinal carcinoma,2869,0002672,0050922,3852
8075,Breast carcinoma,2869,0003002,3459,3852
8076,Intestinal obstruction,2869,0005214,8437,3852
8077,Renal cell carcinoma,2869,0005584,4450,3852
8078,Pancreatic adenocarcinoma,2869,0006725,4074,3852
8079,Stomach cancer,2869,0012126,10534,3852
8080,Ovarian cyst,1359,0000138,5119,0050471
8081,Hypertension,1359,0000822,10763,0050471
8082,Thyroid adenoma,1359,0000854,2891,0050471
8083,Congestive heart failure,1359,0001635,6000,0050471
8084,Sarcoma,1359,0100242,1115,0050471
8085,Pheochromocytoma,1359,0002666,0050771,0050471
8086,Pituitary adenoma,1359,0002893,3829,0050471
8087,Parathyroid adenoma,1359,0002897,7608,0050471
8088,Colon cancer,1359,0003003,219,0050471
8089,Adrenocortical carcinoma,1359,0006744,3948,0050471
8090,Hypopituitarism,1359,0040075,9406,0050471
8091,Hyperpituitarism,1359,0010514,2444,0050471
8092,Fibroma,1359,0010614,0050871,0050471
8093,Hepatocellular adenoma,1359,0012028,0050868,0050471
8094,Stomach cancer,1359,0012126,10534,0050471
8095,Histiocytoma,1359,0012315,4231,0050471
8096,Ovarian cyst,64739,0000138,5119,5425
8097,Pulmonary edema,64739,0100598,11396,5425
8098,Hyperpituitarism,64739,0010514,2444,5425
8099,Amenorrhea,652,0000141,13938,10017
8104,Gingival fibromatosis,652,0000169,0060466,10017
8109,Nephrolithiasis,652,0000787,585,10017
8114,Impotence,652,0000802,1875,10017
8119,Hypertension,652,0000822,10763,10017
8124,Hyperparathyroidism,652,0000843,13543,10017
8129,Goiter,652,0000853,12176,10017
8134,Sarcoma,652,0100242,1115,10017
8139,Diarrhea,652,0002014,13250,10017
8144,Constipation,652,0002019,2089,10017
8149,Zollinger-Ellison syndrome,652,0002044,0050782,10017
8154,Status epilepticus,652,0002133,1824,10017
8159,Thymoma,652,0100522,3275,10017
8164,Duodenal ulcer,652,0002588,1724,10017
8169,Pheochromocytoma,652,0002666,0050771,10017
8174,Meningioma,652,0002858,3565,10017
8179,Pituitary adenoma,652,0002893,3829,10017
8184,Hypercalcemia,652,0003072,12678,10017
8189,Adrenocortical carcinoma,652,0006744,3948,10017
8194,Parathyroid carcinoma,652,0006780,1540,10017
8199,Primary hyperparathyroidism,652,0008200,11202,10017
8204,Hyperpituitarism,652,0010514,2444,10017
8209,Fibroma,652,0010614,0050871,10017
8214,Insulinoma,652,0012197,3892,10017
8219,Gingival fibromatosis,2591,0000169,0060466,0080109
8221,Chondrocalcinosis,2591,0000934,1156,0080109
8223,Sarcoma,2591,0100242,1115,0080109
8225,Hypercalcemia,2591,0003072,12678,0080109
8227,Intestinal obstruction,2591,0005214,8437,0080109
8229,Fibroma,2591,0010614,0050871,0080109
8231,Cleft palate,1052,0000175,674,0080688
8236,Microcephaly,1052,0000252,10907,0080688
8241,Glaucoma,1052,0000501,1686,0080688
8246,Cataract,1052,0000518,83,0080688
8251,Microphthalmia,1052,0000568,10629,0080688
8256,Hypothyroidism,1052,0000821,1459,0080688
8261,Intellectual disability,1052,0001249,1059,0080688
8266,Cerebellar hypoplasia,1052,0001321,0070338,0080688
8271,Holoprosencephaly,1052,0001360,4621,0080688
8276,Polyhydramnios,1052,0001561,8488,0080688
8281,Subvalvular aortic stenosis,1052,0001682,5805,0080688
8286,Leukemia,1052,0001909,1240,0080688
8291,Sarcoma,1052,0100242,1115,0080688
8296,Duodenal atresia,1052,0002247,0080216,0080688
8301,Acute leukemia,1052,0002488,12603,0080688
8306,Nephroblastoma,1052,0002667,2154,0080688
8311,Rhabdomyosarcoma,1052,0002859,3247,0080688
8316,Colon cancer,1052,0003003,219,0080688
8321,Muscular dystrophy,1052,0003560,9884,0080688
8326,Acute lymphoblastic leukemia,1052,0006721,9952,0080688
8331,Intestinal atresia,1052,0011100,10486,0080688
8336,Stomach cancer,1052,0012126,10534,0080688
8341,Cleft palate,1071,0000175,674,0090119
8342,Cleft soft palate,1071,0000185,0110214,0090119
8343,Cleft lip,1071,0410030,9296,0090119
8344,Hypohidrosis,1071,0000966,11155,0090119
8345,Syndactyly,1071,0001159,11193,0090119
8346,Ventricular septal defect,1071,0001629,1657,0090119
8347,Tooth agenesis,1071,0009804,0050591,0090119
8348,Cleft palate,2021,0000175,674,0060465
8350,Brachydactyly,2021,0001156,0050581,0060465
8352,Omphalocele,2021,0001539,0060327,0060465
8354,Cleft palate,894,0000175,674,0110948
8355,Cleft lip,894,0410030,9296,0110948
8356,Strabismus,894,0000486,540,0110948
8357,Ptosis,894,0000508,0060260,0110948
8358,Hypertrichosis,894,0000998,420,0110948
8359,Spina bifida,894,0002414,0080016,0110948
8360,Meningocele,894,0002435,1088,0110948
8361,Scoliosis,894,0002650,0060249,0110948
8362,Neural tube defect,894,0045005,0080074,0110948
8363,Cleft palate,93359,0000175,674,0112197
8365,Intellectual disability,93359,0001249,1059,0112197
8367,Scoliosis,93359,0002650,0060249,0112197
8369,Cleft palate,90650,0000175,674,0111783
8370,Anodontia,90650,0000674,13714,0111783
8371,Intellectual disability,90650,0001249,1059,0111783
8372,Tooth agenesis,90650,0009804,0050591,0111783
8373,Cleft palate,169186,0000175,674,0111216
8377,Cleft soft palate,169186,0000185,0110214,0111216
8381,Ophthalmoplegia,169186,0000602,539,0111216
8385,Intellectual disability,169186,0001249,1059,0111216
8389,Cleft palate,163649,0000175,674,0112288
8390,Cataract,163649,0000518,83,0112288
8391,Retinal detachment,163649,0000541,5327,0112288
8392,Myopia,163649,0000545,11830,0112288
8393,Microphthalmia,163649,0000568,10629,0112288
8394,Cleft palate,819,0000175,674,0060768
8399,Microcephaly,819,0000252,10907,0060768
8404,Otitis media,819,0000388,10754,0060768
8409,Cleft lip,819,0410030,9296,0060768
8414,Strabismus,819,0000486,540,0060768
8419,Retinal detachment,819,0000541,5327,0060768
8424,Myopia,819,0000545,11830,0060768
8429,Hypothyroidism,819,0000821,1459,0060768
8434,Hypertrichosis,819,0000998,420,0060768
8439,Brachydactyly,819,0001156,0050581,0060768
8444,Syndactyly,819,0001159,11193,0060768
8449,Intellectual disability,819,0001249,1059,0060768
8454,Obesity,819,0001513,9970,0060768
8459,Constipation,819,0002019,2089,0060768
8464,Scoliosis,819,0002650,0060249,0060768
8469,Attention deficit hyperactivity disorder,819,0007018,1094,0060768
8474,Polydactyly,819,0010442,1148,0060768
8479,Cleft palate,52429,0000175,674,0060232
8481,Cleft palate,233,0000175,674,12557
8484,Microcephaly,233,0000252,10907,12557
8487,Strabismus,233,0000486,540,12557
8490,Ptosis,233,0000508,0060260,12557
8493,Aniridia,233,0000526,12271,12557
8496,Blepharophimosis,233,0000581,10348,12557
8499,Coloboma,233,0000589,12270,12557
8502,Blepharospasm,233,0000643,529,12557
8505,Amblyopia,233,0000646,10376,12557
8508,Brachydactyly,233,0001156,0050581,12557
8511,Dystonia,233,0001332,543,12557
8514,Spina bifida,233,0002414,0080016,12557
8517,Spina bifida occulta,233,0003298,0080073,12557
8520,Focal dystonia,233,0004373,0050836,12557
8523,Polydactyly,233,0010442,1148,12557
8526,Craniofacial dystonia,233,0012179,0050845,12557
8529,Neural tube defect,233,0045005,0080074,12557
8532,Cleft palate,888,0000175,674,0060239
8534,Cleft lip,888,0410030,9296,0060239
8536,Tooth agenesis,888,0009804,0050591,0060239
8538,Cleft palate,485,0000175,674,0080045
8539,Ptosis,485,0000508,0060260,0080045
8540,Cataract,485,0000518,83,0080045
8541,Retinal detachment,485,0000541,5327,0080045
8542,Myopia,485,0000545,11830,0080045
8543,Retinal degeneration,485,0000546,8466,0080045
8544,Tracheomalacia,485,0002779,0060313,0080045
8545,Arthropathy,485,0003040,381,0080045
8546,Peripheral retinal degeneration,485,0007769,12161,0080045
8547,Cleft palate,1473,0000175,674,0111249
8548,Cleft lip,1473,0410030,9296,0111249
8549,Strabismus,1473,0000486,540,0111249
8550,Glaucoma,1473,0000501,1686,0111249
8551,Ptosis,1473,0000508,0060260,0111249
8552,Cataract,1473,0000518,83,0111249
8553,Retinal detachment,1473,0000541,5327,0111249
8554,Microphthalmia,1473,0000568,10629,0111249
8555,Coloboma,1473,0000589,12270,0111249
8556,Optic atrophy,1473,0000648,5723,0111249
8557,Intellectual disability,1473,0001249,1059,0111249
8558,Cleft palate,246,0000175,674,0111259
8559,Cleft lip,246,0410030,9296,0111259
8560,Strabismus,246,0000486,540,0111259
8561,Ectropion,246,0000656,1570,0111259
8562,Syndactyly,246,0001159,11193,0111259
8563,Cleft palate,83,0000175,674,0050462
8565,Choanal atresia,83,0000453,9574,0050462
8567,Strabismus,83,0000486,540,0050462
8569,Craniosynostosis,83,0001363,2340,0050462
8571,Ankylosis,83,0031013,227,0050462
8573,Cleft palate,647,0000175,674,7400
8574,Microcephaly,647,0000252,10907,7400
8575,Cleft lip,647,0410030,9296,7400
8576,Thrombocytopenia,647,0001873,1588,7400
8577,Hemolytic anemia,647,0001878,583,7400
8578,Autoimmune hemolytic anemia,647,0001890,718,7400
8579,Anemia,647,0001903,2355,7400
8580,Leukemia,647,0001909,1240,7400
8581,Sarcoma,647,0100242,1115,7400
8582,Diarrhea,647,0002014,13250,7400
8583,Pneumonia,647,0002090,552,7400
8584,Acute leukemia,647,0002488,12603,7400
8585,Lymphoma,647,0002665,0060058,7400
8586,Rhabdomyosarcoma,647,0002859,3247,7400
8587,Respiratory failure,647,0002878,11162,7400
8588,Attention deficit hyperactivity disorder,647,0007018,1094,7400
8589,B-cell lymphoma,647,0012191,707,7400
8590,Non-Hodgkin lymphoma,647,0012539,0060060,7400
8591,Cleft palate,94068,0000175,674,14789
8592,Retinal detachment,94068,0000541,5327,14789
8593,Myopia,94068,0000545,11830,14789
8594,Osteoporosis,94068,0000939,11476,14789
8595,Scoliosis,94068,0002650,0060249,14789
8596,Tracheomalacia,94068,0002779,0060313,14789
8597,Cleft palate,60030,0000175,674,0050466
8599,Cleft soft palate,60030,0000185,0110214,0050466
8601,Craniosynostosis,60030,0001363,2340,0050466
8603,Patent ductus arteriosus,60030,0001643,13832,0050466
8605,Cardiac arrest,60030,0001695,0060319,0050466
8607,Aortic dissection,60030,0002647,0080685,0050466
8609,Scoliosis,60030,0002650,0060249,0050466
8611,Aortic aneurysm,60030,0004942,3627,0050466
8613,Cleft palate,52055,0000175,674,0060816
8614,Choanal atresia,52055,0000453,9574,0060816
8615,Coloboma,52055,0000589,12270,0060816
8616,Intellectual disability,52055,0001249,1059,0060816
8617,Ventricular septal defect,52055,0001629,1657,0060816
8618,Patent ductus arteriosus,52055,0001643,13832,0060816
8619,Scoliosis,52055,0002650,0060249,0060816
8620,Cleft palate,3320,0000175,674,14699
8621,Syndactyly,3320,0001159,11193,14699
8622,Tetralogy of Fallot,3320,0001636,6419,14699
8623,Thrombocytopenia,3320,0001873,1588,14699
8624,Scoliosis,3320,0002650,0060249,14699
8625,Cleft palate,1452,0000175,674,13994
8626,Sinusitis,1452,0000246,0050127,13994
8627,Otitis media,1452,0000388,10754,13994
8628,Osteoporosis,1452,0000939,11476,13994
8629,Brachydactyly,1452,0001156,0050581,13994
8630,Spina bifida,1452,0002414,0080016,13994
8631,Scoliosis,1452,0002650,0060249,13994
8632,Spina bifida occulta,1452,0003298,0080073,13994
8633,Sleep apnea,1452,0010535,0050847,13994
8634,Neural tube defect,1452,0045005,0080074,13994
8635,Cleft palate,560,0000175,674,0111510
8636,Strabismus,560,0000486,540,0111510
8637,Glaucoma,560,0000501,1686,0111510
8638,Cataract,560,0000518,83,0111510
8639,Retinal detachment,560,0000541,5327,0111510
8640,Myopia,560,0000545,11830,0111510
8641,Amblyopia,560,0000646,10376,0111510
8642,Hypohidrosis,560,0000966,11155,0111510
8643,Arthritis,560,0001369,848,0111510
8644,Osteoarthritis,560,0002758,8398,0111510
8645,Cleft palate,2635,0000175,674,0111514
8646,Hydrocephalus,2635,0000238,10908,0111514
8647,Cataract,2635,0000518,83,0111514
8648,Scoliosis,2635,0002650,0060249,0111514
8649,Cleft palate,1393,0000175,674,0111248
8650,Microcephaly,1393,0000252,10907,0111248
8651,Intellectual disability,1393,0001249,1059,0111248
8652,Ventricular septal defect,1393,0001629,1657,0111248
8653,Anencephaly,1393,0002323,0060668,0111248
8654,Hydranencephaly,1393,0002324,4626,0111248
8655,Spina bifida,1393,0002414,0080016,0111248
8656,Meningocele,1393,0002435,1088,0111248
8657,Myelomeningocele,1393,0002475,0060326,0111248
8658,Tracheomalacia,1393,0002779,0060313,0111248
8659,Neural tube defect,1393,0045005,0080074,0111248
8660,Cleft palate,1226,0000175,674,0050655
8661,Choanal atresia,1226,0000453,9574,0050655
8662,Hypothyroidism,1226,0000821,1459,0050655
8663,Congenital hypothyroidism,1226,0000851,0050328,0050655
8664,Intellectual disability,1226,0001249,1059,0050655
8665,Polyhydramnios,1226,0001561,8488,0050655
8666,Glossitis,90045,0000206,1456,0111678
8667,Thrombocytopenia,90045,0001873,1588,0111678
8668,Pancytopenia,90045,0001876,12450,0111678
8669,Megaloblastic anemia,90045,0001889,13382,0111678
8670,Anemia,90045,0001903,2355,0111678
8671,Macrocytic anemia,90045,0001972,2361,0111678
8672,Diarrhea,90045,0002014,13250,0111678
8673,Cheilitis,90045,0100825,1762,0111678
8674,Glossitis,2116,0000206,1456,1060
8676,Gingivitis,2116,0000230,3087,1060
8678,Strabismus,2116,0000486,540,1060
8680,Intellectual disability,2116,0001249,1059,1060
8682,Migraine,2116,0002076,6364,1060
8684,Encephalitis,2116,0002383,9588,1060
8686,Glossitis,37,0000206,1456,0050605
8687,Blepharitis,37,0000498,9423,0050605
8688,Conjunctivitis,37,0000509,6195,0050605
8689,Alopecia,37,0001596,987,0050605
8690,Paronychia,37,0001818,13117,0050605
8691,Diarrhea,37,0002014,13250,0050605
8692,Cheilitis,37,0100825,1762,0050605
8693,Gingival overgrowth,520,0000212,3086,0060318
8706,Purpura,520,0000979,3326,0060318
8719,Thrombocytopenia,520,0001873,1588,0060318
8732,Neutropenia,520,0001875,1227,0060318
8745,Pancytopenia,520,0001876,12450,0060318
8758,Leukopenia,520,0001882,615,0060318
8771,Anemia,520,0001903,2355,0060318
8784,Disseminated intravascular coagulation,520,0005521,11247,0060318
8797,Stomatitis,520,0010280,9637,0060318
8810,Gingival overgrowth,3205,0000212,3086,0111563
8811,Hydrocephalus,3205,0000238,10908,0111563
8812,Strabismus,3205,0000486,540,0111563
8813,Glaucoma,3205,0000501,1686,0111563
8814,Retinal detachment,3205,0000541,5327,0111563
8815,Coloboma,3205,0000589,12270,0111563
8816,Blindness,3205,0000618,1432,0111563
8817,Optic atrophy,3205,0000648,5723,0111563
8818,Hemangioma,3205,0001028,255,0111563
8819,Corneal dystrophy,3205,0001131,2566,0111563
8820,Intellectual disability,3205,0001249,1059,0111563
8821,Pulmonary embolism,3205,0002204,9477,0111563
8822,Hyperostosis,3205,0100774,205,0111563
8823,Capillary hemangioma,3205,0005306,2725,0111563
8824,Attention deficit hyperactivity disorder,3205,0007018,1094,0111563
8825,Gingival overgrowth,561,0000212,3086,0050858
8826,Choanal atresia,561,0000453,9574,0050858
8827,Optic atrophy,561,0000648,5723,0050858
8828,Intellectual disability,561,0001249,1059,0050858
8829,Cerebellar hypoplasia,561,0001321,0070338,0050858
8830,Craniosynostosis,561,0001363,2340,0050858
8831,Scoliosis,561,0002650,0060249,0050858
8832,Gingival overgrowth,79255,0000212,3086,0080502
8833,Blindness,79255,0000618,1432,0080502
8834,Intellectual disability,79255,0001249,1059,0080502
8835,Cardiomyopathy,79255,0001638,0050700,0080502
8836,Pneumonia,79255,0002090,552,0080502
8837,Aspiration pneumonia,79255,0011951,0050152,0080502
8838,Gingival overgrowth,2136,0000212,3086,0060366
8841,Glaucoma,2136,0000501,1686,0060366
8844,Lymphedema,2136,0001004,4977,0060366
8847,Erysipelas,2136,0001055,11330,0060366
8850,Syndactyly,2136,0001159,11193,0060366
8853,Intellectual disability,2136,0001249,1059,0060366
8856,Lissencephaly,2136,0001339,0050453,0060366
8859,Craniosynostosis,2136,0001363,2340,0060366
8862,Pericardial effusion,2136,0001698,118,0060366
8865,Arteriovenous malformation,2136,0100026,11294,0060366
8868,Lymphopenia,2136,0001888,614,0060366
8871,Pyloric stenosis,2136,0002021,12639,0060366
8874,Lymphangioma,2136,0100764,1475,0060366
8877,Tooth agenesis,2136,0009804,0050591,0060366
8880,Gingival overgrowth,2836,0000212,3086,0080539
8882,Hydrocephalus,2836,0000238,10908,0080539
8884,Microcephaly,2836,0000252,10907,0080539
8886,Optic atrophy,2836,0000648,5723,0080539
8888,Intellectual disability,2836,0001249,1059,0080539
8890,Arthrogryposis multiplex congenita,2836,0002804,0080954,0080539
8892,Gingival overgrowth,175,0000212,3086,14773
8893,Strabismus,175,0000486,540,14773
8894,Myopia,175,0000545,11830,14773
8895,Cardiomyopathy,175,0001638,0050700,14773
8896,Neutropenia,175,0001875,1227,14773
8897,Anemia,175,0001903,2355,14773
8898,Metaphyseal dysplasia,175,0100255,0080019,14773
8899,Scoliosis,175,0002650,0060249,14773
8900,Tracheal stenosis,175,0002777,3227,14773
8901,Neural tube defect,175,0045005,0080074,14773
8902,Gingivitis,486,0000230,3087,0112130
8906,Periodontitis,486,0000704,824,0112130
8910,Hemangioma,486,0001028,255,0112130
8914,Neutropenia,486,0001875,1227,0112130
8918,Pancytopenia,486,0001876,12450,0112130
8922,Lymphopenia,486,0001888,614,0112130
8926,Leukemia,486,0001909,1240,0112130
8930,Aplastic anemia,486,0001915,12449,0112130
8934,Diarrhea,486,0002014,13250,0112130
8938,Pneumonia,486,0002090,552,0112130
8942,Cellulitis,486,0100658,3488,0112130
8946,Acute leukemia,486,0002488,12603,0112130
8950,Acute myeloid leukemia,486,0004808,9119,0112130
8954,Acute lymphoblastic leukemia,486,0006721,9952,0112130
8958,Pharyngitis,486,0025439,2275,0112130
8962,Pyoderma gangrenosum,486,0025452,8553,0112130
8966,Stomatitis,486,0010280,9637,0112130
8970,Rhinitis,486,0012384,4483,0112130
8974,Gingivitis,379,0000230,3087,3265
8980,Sinusitis,379,0000246,0050127,3265
8986,Otitis media,379,0000388,10754,3265
8992,Meningitis,379,0001287,9471,3265
8998,Pyloric stenosis,379,0002021,12639,3265
9004,Hydrocephalus,244,0000238,10908,9562
9051,Sinusitis,244,0000246,0050127,9562
9098,Otitis media,244,0000388,10754,9562
9145,Infertility,244,0000789,5223,9562
9192,Dextrocardia,244,0001651,9565,9562
9239,Double outlet right ventricle,244,0001719,6406,9562
9286,Bronchiectasis,244,0002110,9563,9562
9333,Chronic rhinitis,244,0002257,8252,9562
9380,Respiratory failure,244,0002878,11162,9562
9427,Male infertility,244,0003251,12336,9562
9474,Rhinitis,244,0012384,4483,9562
9521,Ectopic pregnancy,244,0031456,0060329,9562
9568,Hydrocephalus,2050,0000238,10908,0060438
9570,Communicating hydrocephalus,2050,0001334,1573,0060438
9572,Scoliosis,2050,0002650,0060249,0060438
9574,Hydrocephalus,538,0000238,10908,3319
9576,Optic atrophy,538,0000648,5723,3319
9578,Lymphedema,538,0001004,4977,3319
9580,Pericardial effusion,538,0001698,118,3319
9582,Sarcoma,538,0100242,1115,3319
9584,Pneumothorax,538,0002107,1673,3319
9586,Fibroma,538,0010614,0050871,3319
9588,Hydrocephalus,475,0000238,10908,0050777
9610,Strabismus,475,0000486,540,0050777
9632,Ptosis,475,0000508,0060260,0050777
9654,Coloboma,475,0000589,12270,0050777
9676,Intellectual disability,475,0001249,1059,0050777
9698,Cerebellar hypoplasia,475,0001321,0070338,0050777
9720,Dextrocardia,475,0001651,9565,0050777
9742,Polymicrogyria,475,0002126,0080918,0050777
9764,Apraxia,475,0002186,0060135,0050777
9786,Scoliosis,475,0002650,0060249,0050777
9808,Polydactyly,475,0010442,1148,0050777
9830,Hydrocephalus,763,0000238,10908,0080038
9831,Brachydactyly,763,0001156,0050581,0080038
9832,Anemia,763,0001903,2355,0080038
9833,Osteomyelitis,763,0002754,1019,0080038
9834,Hydrocephalus,626,0000238,10908,0111359
9836,Sarcoma,626,0100242,1115,0111359
9838,Rhabdomyosarcoma,626,0002859,3247,0111359
9840,Melanoma,626,0002861,1909,0111359
9842,Hydrocephalus,974,0000238,10908,0060227
9848,Strabismus,974,0000486,540,0060227
9854,Cataract,974,0000518,83,0060227
9860,Microphthalmia,974,0000568,10629,0060227
9866,Brachydactyly,974,0001156,0050581,0060227
9872,Syndactyly,974,0001159,11193,0060227
9878,Intellectual disability,974,0001249,1059,0060227
9884,Portal hypertension,974,0001409,10762,0060227
9890,Alopecia,974,0001596,987,0060227
9896,Tetralogy of Fallot,974,0001636,6419,0060227
9902,Arteriovenous malformation,974,0100026,11294,0060227
9908,Thrombocytopenia,974,0001873,1588,0060227
9914,Leukopenia,974,0001882,615,0060227
9920,Esophageal varix,974,0002040,112,0060227
9926,Periventricular leukomalacia,974,0006970,13088,0060227
9932,Hydrocephalus,2770,0000238,10908,0090112
9934,Dementia,2770,0000726,1307,0090112
9936,Leukemia,2770,0001909,1240,0090112
9938,Apraxia,2770,0002186,0060135,0090112
9940,Acute leukemia,2770,0002488,12603,0090112
9942,Agnosia,2770,0010524,4090,0090112
9944,Hydrocephalus,15,0000238,10908,4480
9945,Acanthosis nigricans,15,0000956,3138,4480
9946,Brachydactyly,15,0001156,0050581,4480
9947,Obesity,15,0001513,9970,4480
9948,Obstructive sleep apnea,15,0002870,0050848,4480
9949,Sleep apnea,15,0010535,0050847,4480
9950,Central sleep apnea,15,0010536,9220,4480
9951,Hydrocephalus,99966,0000238,10908,2129
9952,Cerebral palsy,99966,0100021,1969,2129
9953,Migraine,99966,0002076,6364,2129
9954,Hydrocephalus,53271,0000238,10908,0060703
9955,Ptosis,53271,0000508,0060260,0060703
9956,Craniosynostosis,53271,0001363,2340,0060703
9957,Hydrocephalus,93262,0000238,10908,0111161
9958,Choanal atresia,93262,0000453,9574,0111161
9959,Strabismus,93262,0000486,540,0111161
9960,Ptosis,93262,0000508,0060260,0111161
9961,Optic atrophy,93262,0000648,5723,0111161
9962,Acanthosis nigricans,93262,0000956,3138,0111161
9963,Brachydactyly,93262,0001156,0050581,0111161
9964,Migraine,93262,0002076,6364,0111161
9965,Hydrocephalus,380,0000238,10908,14761
9966,Congenital diaphragmatic hernia,380,0000776,3827,14761
9967,Syndactyly,380,0001159,11193,14761
9968,Intellectual disability,380,0001249,1059,14761
9969,Craniosynostosis,380,0001363,2340,14761
9970,Umbilical hernia,380,0001537,0060321,14761
9971,Polydactyly,380,0010442,1148,14761
9972,Sinusitis,908,0000246,0050127,14261
9973,Otitis media,908,0000388,10754,14261
9974,Strabismus,908,0000486,540,14261
9975,Intellectual disability,908,0001249,1059,14261
9976,Mitral valve prolapse,908,0001634,988,14261
9977,Aortic aneurysm,908,0004942,3627,14261
9978,Attention deficit hyperactivity disorder,908,0007018,1094,14261
9979,Thoracic aortic aneurysm,908,0012727,14004,14261
9980,Sinusitis,51636,0000246,0050127,0060591
9981,Otitis media,51636,0000388,10754,0060591
9982,Periodontitis,51636,0000704,824,0060591
9983,Vitiligo,51636,0001045,12306,0060591
9984,Meningitis,51636,0001287,9471,0060591
9985,Tetralogy of Fallot,51636,0001636,6419,0060591
9986,Neutropenia,51636,0001875,1227,0060591
9987,Lymphopenia,51636,0001888,614,0060591
9988,Pneumonia,51636,0002090,552,0060591
9989,Bronchiectasis,51636,0002110,9563,0060591
9990,Cellulitis,51636,0100658,3488,0060591
9991,Lymphadenitis,51636,0002840,1602,0060591
9992,Melanoma,51636,0002861,1909,0060591
9993,Pharyngitis,51636,0025439,2275,0060591
9994,Parotitis,51636,0011850,10301,0060591
9995,Papilloma,51636,0012740,2615,0060591
9996,Sinusitis,811,0000246,0050127,0060479
10000,Diabetes mellitus,811,0000819,9351,0060479
10004,Intellectual disability,811,0001249,1059,0060479
10008,Exocrine pancreatic insufficiency,811,0001738,13316,0060479
10012,Thrombocytopenia,811,0001873,1588,0060479
10016,Neutropenia,811,0001875,1227,0060479
10020,Pancytopenia,811,0001876,12450,0060479
10024,Leukopenia,811,0001882,615,0060479
10028,Normocytic anemia,811,0001897,720,0060479
10032,Anemia,811,0001903,2355,0060479
10036,Leukemia,811,0001909,1240,0060479
10040,Aplastic anemia,811,0001915,12449,0060479
10044,Metaphyseal dysplasia,811,0100255,0080019,0060479
10048,Glucose intolerance,811,0001952,10603,0060479
10052,Macrocytic anemia,811,0001972,2361,0060479
10056,Pneumonia,811,0002090,552,0060479
10060,Acute leukemia,811,0002488,12603,0060479
10064,Osteomyelitis,811,0002754,1019,0060479
10068,Acute myeloid leukemia,811,0004808,9119,0060479
10072,Hypopituitarism,811,0040075,9406,0060479
10076,Ichthyosis,811,0008064,1697,0060479
10080,Sinusitis,420741,0000246,0050127,0090113
10081,Microcephaly,420741,0000252,10907,0090113
10082,Otitis media,420741,0000388,10754,0090113
10083,Arthritis,420741,0001369,848,0090113
10084,Diarrhea,420741,0002014,13250,0090113
10085,Pneumonia,420741,0002090,552,0090113
10086,Pulmonary fibrosis,420741,0002206,3770,0090113
10087,Respiratory failure,420741,0002878,11162,0090113
10088,Bronchitis,420741,0012387,6132,0090113
10089,Sinusitis,906,0000246,0050127,9169
10091,Otitis media,906,0000388,10754,9169
10093,Keratitis,906,0000491,4677,9169
10095,Blepharitis,906,0000498,9423,9169
10097,Conjunctivitis,906,0000509,6195,9169
10099,Purpura,906,0000979,3326,9169
10101,Urticaria,906,0001025,1555,9169
10103,Meningitis,906,0001287,9471,9169
10105,Arthritis,906,0001369,848,9169
10107,Cardiac arrest,906,0001695,0060319,9169
10109,Thrombocytopenia,906,0001873,1588,9169
10111,Neutropenia,906,0001875,1227,9169
10113,Hemolytic anemia,906,0001878,583,9169
10115,Lymphopenia,906,0001888,614,9169
10117,Anemia,906,0001903,2355,9169
10119,Leukemia,906,0001909,1240,9169
10121,Microcytic anemia,906,0001935,11252,9169
10123,Diarrhea,906,0002014,13250,9169
10125,Hyperostosis,906,0100774,205,9169
10127,Acute leukemia,906,0002488,12603,9169
10129,Vasculitis,906,0002633,865,9169
10131,Lymphoma,906,0002665,0060058,9169
10133,Chronic leukemia,906,0005558,1036,9169
10135,Sinusitis,47,0000246,0050127,14179
10136,Otitis media,47,0000388,10754,14179
10137,Conjunctivitis,47,0000509,6195,14179
10138,Meningitis,47,0001287,9471,14179
10139,Arthritis,47,0001369,848,14179
10140,Alopecia,47,0001596,987,14179
10141,Thrombocytopenia,47,0001873,1588,14179
10142,Neutropenia,47,0001875,1227,14179
10143,Anemia,47,0001903,2355,14179
10144,Diarrhea,47,0002014,13250,14179
10145,Pneumonia,47,0002090,552,14179
10146,Cellulitis,47,0100658,3488,14179
10147,Osteomyelitis,47,0002754,1019,14179
